À,1301
Á,1778
Â,552
Ã,1064
Ä,809
Å,111
Æ,424
Ç,675
È,368
É,4
Ê,2447
Ë,743
Ì,1369
Í,499
Î,844
Ï,1886
Ð,612
Ñ,1916
Ò,1063
Ó,288
Ô,204
Õ,299
Ö,245
×,735
Ø,291
Ù,162
Ý,238
Þ,148
ß,225
A,3580
B,1106
C,2792
D,1181
E,1159
F,276
G,764
H,1203
I,404
J,95
K,259
L,1184
M,1957
N,943
O,938
P,3079
Q,46
R,550
S,2053
T,1584
U,167
V,208
W,104
X,188
Y,54
Z,244
